bathrooms,bedrooms,finishedsqft,price,totalrooms
2,2,1043,1300000,4
1,1,903,750000,3
4,3,1425,1495000,6
3,3,2231,2700000,10
3,3,1300,1530000,4
1,2,1250,460000,5
1,3,1032,532000,6
1,2,1200,1050000,5
3.5,4,2700,3500000,9
2,3,2016,1500000,7
1,3,1798,848000,8
1,1,761,1000000,4
1,1,780,863000,4
5,5,5786,4888000,12
2,2,1688,1000000,6
3,4,1619,210000,7
1,0,398,525000,4
4.5,4,2615,2300000,9
2,2,1252,1450000,4
2,3,1444,2500000,6
2,3,1200,171000,5
1,2,1265,871500,5
1,1,859,900000,4
1,2,1308,1020000,5
1.5,2,1429,1410500,6
1,3,1771,951000,8
2,3,1452,430000,8
2,3,1115,680000,6
3,3,2378,1440000,8
2.5,2,2063,1700000,10
3,3,2200,234000,6
1,2,1250,700000,5
1,2,970,744000,5
2,2,911,1100000,4
1.25,2,1621,1325000,6
3,3,2048,2525000,7
2,3,2080,2300000,7
1,1,1212,775000,4
2,2,1125,1457000,4
3.75,4,1846,1525000,5
1,3,1164,550000,6
5,7,4808,3800000,15
4,4,2520,1900000,8
1,1,706,620000,3
1,1,903,800000,3
1,2,1593,872500,4
3,8,2600,1535000,10
3,3,1902,1600000,6
3,4,2900,1625000,8
3.5,3,2435,2050000,7
2,3,1207,885000,9
2,3,1106,960000,6
2,1,935,825000,3
1,2,968,1065000,4
2,3,1950,1925000,7
2,4,1703,1250000,8
2,2,1463,1950000,7
1,2,1200,609000,5
2,3,2650,2350000,8
2,3,1700,1770000,5
4,4,2850,2800000,7
2,2,1252,1350000,4
2,3,1297,725000,6
3,5,1789,850000,8
1,2,1254,860000,5
1,1,713,885000,3
2.5,4,2166,1600000,11
1,2,1000,760000,4
2,3,2250,227500,8
2,3,1806,1300000,7
1.5,3,1200,810000,5
1,2,884,850000,5
2,3,2100,1950000,10
2,2,977,1030000,5
1,2,875,565000,4
1,2,697,762000,4
2,3,1539,950000,7
2,2,1118,1415000,5
2.5,2,1670,7500000,5
1,0,550,650000,2
2,3,1440,1275000,7
1,3,1480,1250000,5
2.5,4,2193,1225000,7
1,1,417,555000,5
4,4,2596,1900000,9
3,4,2200,1558000,7
2,2,969,658000,4
1,2,840,738000,4
2,4,1726,950000,7
1,2,1200,961000,5
1,2,950,695500,4
1,1,1000,976000,3
1,0,376,502000,1
1,3,800,675000,4
2,1,842,640000,2
2,2,1111,1650000,4
1,4,1325,860000,6
3,3,2234,1125000,3
5.5,6,4749,5100000,10
2.5,3,1591,1800000,9
4,4,3480,4500000,8
2,3,1853,1370000,9
2,3,1400,910000,6
1,2,1105,1475000,6
2,2,1201,1475000,4
1,0,450,640000,2
3.5,3,3291,4200000,7
1,2,1015,920000,5
2,2,941,945000,5
1,2,962,1250000,5
2,2,1393,1530000,6
2.5,2,1332,780000,4
1,1,590,1193000,5
3,4,2500,1400000,5
4,4,2610,2210000,13
3,4,2451,2400000,12
2,4,1362,890000,6
3,4,1622,1325000,9
1,1,765,815000,12
3,5,1990,1240000,8
2,4,1824,1700000,6
4.5,5,4095,3750000,9
3,5,1875,417000,7
3,5,2837,2600000,9
1,1,787,825000,3
2,3,1577,1680000,6
1,1,805,578000,4
2,2,1193,750000,4
2,3,1675,1150000,7
2,3,1125,638000,4
3,4,2200,851000,8
4,4,1800,1175000,8
3,2,2160,1505000,7
2,2,1000,1290000,4
1,2,1034,1000000,5
1,2,1231,1375000,5
2,2,1092,1262500,4
1,3,1525,1300000,6
1,1,1030,876500,4
1,2,1088,875000,5
2,1,952,1125000,4
1,2,1406,1150000,5
7,9,5085,1550000,15
3,4,1546,1075000,7
2,2,1125,1150000,4
2,2,958,1150000,4
2,2,1078,1400000,4
2,3,1717,1963000,13
3.5,3,2002,2350000,9
2,4,1175,720000,5
1,3,1450,1200000,6
3,4,2100,1300000,7
3,3,1753,950000,7
1,2,1077,1045000,6
1,2,1175,1000000,5
4,4,2096,2400000,8
2,3,2230,7450000,9
3,5,1594,935000,8
2,3,1675,1950000,6
1,2,1440,1380000,5
1,1,1210,700000,5
1,3,1465,990000,7
5,5,3851,6500000,13
6,8,4158,2240000,15
1,2,1500,1265000,6
5.5,5,5590,8400000,11
2,4,995,680000,5
1.5,3,1575,1250000,7
1,3,1379,1389000,6
2,4,2008,800000,7
2,7,3974,2400000,12
1,2,830,665000,5
3,3,1480,570000,7
2,5,1365,1050000,9
1,2,1625,1310000,6
1,1,541,695000,3
1,1,1056,1200000,3
1,1,900,825000,4
1,2,775,1250000,4
1,2,1087,720000,4
3.5,3,2781,1054000,8
2,2,1166,1570000,4
3,3,1466,1370000,6
1,1,800,718000,4
3,4,3000,1625000,7
5,6,4000,1706000,14
1,2,1375,1900000,10
3,3,1628,1200000,6
4.5,5,4400,5500000,9
1,3,1668,1495000,8
2,2,1370,930000,8
1.5,3,1125,1040000,5
1,0,592,530000,2
1,2,1010,750000,4
1,1,1056,975000,2
2,2,1488,1475000,4
4,4,2510,2278000,10
3,3,2323,2080000,6
3.5,3,2255,2500000,7
1,1,750,555000,3
1,1,823,750000,3
1,1,642,655000,3
2,4,2150,1735000,10
1,3,1158,650000,6
1,2,1325,700000,5
2,2,1061,838000,5
1,2,1095,880000,5
1,1,693,310000,4
1,2,1100,1420000,5
3,2,1370,1100000,4
2,3,1747,1325000,9
3,4,2100,1425000,9
2,4,1926,1655000,8
3.5,5,3114,2250000,8
1,2,1250,610000,7
2,3,1875,1589000,7
1,1,688,510000,3
2,2,1227,641000,3
5,5,2500,1650000,7
2,3,2624,4500000,7
2,2,1250,660000,5
3,5,2504,1651000,7
1,1,470,550000,3
2,2,1297,980000,6
1,2,900,897000,4
5.5,6,4840,6100000,12
2,3,1092,640000,5
1,1,977,1064000,5
